,yl18_bu_ac,yl18_moist_pct,field,crop18,yl18_rm_code,yl16_nn_bu_ac,yl16_nn_dist_m,crop16,pro18_nn_pct,pro18_nn_dist_m,pro16_nn_pct,pro16_nn_dist_m,n18_lbs_ac,n16_lbs_ac,elev_m,slope_deg,aspect_cos,aspect_sin,tpi30,ndvi15,ndvi16,ndvi17,ndre15,ndre16,ndre17,clre15,clre16,clre17,ndvi18,prec2017ant,prec2018jul,prec2018mar,gdd2018mar,gdd2018jul,ndre18,clre18,x,y,n18_date,crop17,N
10,57.0619,10.2,henrys,hrww,0,44.05,1.19,ww,11.32,4.51,12.02,8.45,89.13,44.17,860.56,0.0,0.77,0.64,0.52,0.01,0.65,0.13,0.01,0.44,0.05,0.05,2.18,0.2,0.38,,,,56.11,1848.89,0.26,1.31,47.88103601793355,-110.5479073952025,2018-04-06,hrww,40
11,65.2456,10.9,henrys,hrww,0,55.51,1.51,ww,13.83,5.7,12.27,2.39,91.14,43.83,860.74,0.0,1.0,0.03,0.45,0.02,0.68,0.14,0.01,0.45,0.05,0.05,2.26,0.22,0.34,,,,56.11,1848.89,0.25,1.1,47.880579154073494,-110.5479158355265,2018-04-06,hrww,40
12,59.5878,10.7,henrys,hrww,0,55.51,3.61,ww,12.5,4.28,12.27,4.0,91.14,43.83,860.81,0.0,0.54,0.84,0.48,0.02,0.66,0.12,0.01,0.44,0.05,0.05,2.19,0.2,0.33,,,,56.11,1848.89,0.26,1.1,47.88058052180803,-110.54794539891917,2018-04-06,hrww,40
0,19.0439,11.2,henrys,hrww,0,25.94,0.65,ww,12.21,12.39,11.81,7.54,87.27,43.18,855.46,1.0,-0.59,0.81,0.49,0.01,0.6,0.13,0.01,0.36,0.05,0.04,1.49,0.21,0.55,,,,56.11,1848.89,0.33,1.53,47.88774806937296,-110.54796174446449,2018-04-06,hrww,20
1,23.5002,11.2,henrys,hrww,0,22.21,0.89,ww,12.21,10.71,11.81,7.96,87.27,43.18,855.46,1.0,-0.59,0.81,0.49,0.01,0.6,0.13,0.01,0.36,0.05,0.04,1.49,0.21,0.55,,,,56.11,1848.89,0.33,1.53,47.88776957746152,-110.54796114466517,2018-04-06,hrww,20
2,18.8223,11.2,henrys,hrww,0,25.04,0.4,ww,12.21,9.34,11.81,9.02,87.27,43.18,855.46,1.0,-0.59,0.81,0.49,0.01,0.6,0.13,0.01,0.36,0.05,0.04,1.49,0.21,0.55,,,,56.11,1848.89,0.33,1.53,47.8877911303154,-110.54796050485962,2018-04-06,hrww,20
0,18.5927,11.1,henrys,hrww,0,23.2,1.02,ww,13.05,11.94,11.6,9.81,87.27,43.18,855.5,1.0,0.21,0.98,0.52,0.01,0.58,0.14,0.01,0.35,0.06,0.05,1.49,0.22,0.54,,,,56.11,1848.89,0.32,1.45,47.8880710084071,-110.54795472529814,2018-04-06,hrww,60
1,18.363,10.7,henrys,hrww,0,24.26,0.83,ww,11.11,11.4,13.31,14.46,87.27,43.18,855.46,0.0,0.8,0.6,0.5,0.01,0.57,0.14,0.01,0.33,0.06,0.04,1.39,0.21,0.55,,,,56.11,1848.89,0.34,1.66,47.88811449602573,-110.54795254540491,2018-04-06,hrww,60
2,17.5506,11.0,henrys,hrww,0,23.44,1.21,ww,13.05,9.55,11.6,7.43,87.27,43.18,855.5,1.0,0.21,0.98,0.52,0.01,0.58,0.14,0.01,0.35,0.06,0.05,1.49,0.22,0.54,,,,56.11,1848.89,0.32,1.45,47.88804951317005,-110.54795567510058,2018-04-06,hrww,60
3,21.1427,11.0,henrys,hrww,0,23.26,1.18,ww,11.11,9.56,11.47,11.85,87.27,43.18,855.41,0.0,0.42,0.91,0.48,0.01,0.56,0.13,0.01,0.33,0.06,0.04,1.39,0.21,0.56,,,,56.11,1848.89,0.34,1.66,47.88822222128507,-110.54795132439934,2018-04-06,hrww,60
4,20.8825,10.8,henrys,hrww,0,22.77,0.81,ww,11.11,10.01,13.31,16.55,87.27,43.18,855.46,0.0,0.8,0.6,0.5,0.01,0.57,0.14,0.01,0.33,0.06,0.04,1.39,0.21,0.55,,,,56.11,1848.89,0.34,1.66,47.888135900315426,-110.54795172484609,2018-04-06,hrww,60
5,20.7562,11.0,henrys,hrww,0,23.88,0.94,ww,11.11,8.56,11.47,15.96,87.27,43.18,855.41,0.0,0.42,0.91,0.48,0.01,0.56,0.13,0.01,0.33,0.06,0.04,1.39,0.21,0.56,,,,56.11,1848.89,0.34,1.66,47.88817901652019,-110.54795104440103,2018-04-06,hrww,60
6,19.5967,11.0,henrys,hrww,0,26.28,1.03,ww,11.11,8.75,11.47,13.88,87.27,43.18,855.41,0.0,0.42,0.91,0.48,0.01,0.56,0.13,0.01,0.33,0.06,0.04,1.39,0.21,0.56,,,,56.11,1848.89,0.34,1.66,47.888200243667434,-110.54795105440951,2018-04-06,hrww,60
7,18.778,10.7,henrys,hrww,0,24.23,0.89,ww,11.11,13.07,11.6,12.26,87.27,43.18,855.46,0.0,0.8,0.6,0.5,0.01,0.57,0.14,0.01,0.33,0.06,0.04,1.39,0.21,0.55,,,,56.11,1848.89,0.34,1.66,47.8880929984071,-110.54795364529727,2018-04-06,hrww,60
8,20.74,11.1,henrys,hrww,0,24.04,0.99,ww,11.11,14.27,10.84,6.67,87.27,43.18,855.41,1.0,0.26,0.97,0.52,0.01,0.55,0.13,0.01,0.3,0.06,0.05,1.23,0.22,0.56,,,,56.11,1848.89,0.35,1.73,47.88828703748978,-110.54795263484013,2018-04-06,hrww,60
9,19.4946,10.7,henrys,hrww,0,20.97,0.56,ww,10.89,18.03,10.84,0.76,87.27,43.18,855.41,1.0,0.26,0.97,0.52,0.01,0.55,0.13,0.01,0.3,0.06,0.05,1.23,0.22,0.56,,,,56.11,1848.89,0.35,1.73,47.8883515108146,-110.54795400446868,2018-04-06,hrww,60
10,20.9104,11.1,henrys,hrww,0,25.1,1.24,ww,11.11,12.4,11.47,8.56,87.27,43.18,855.41,1.0,0.26,0.97,0.52,0.01,0.55,0.13,0.01,0.3,0.06,0.05,1.23,0.22,0.56,,,,56.11,1848.89,0.35,1.73,47.888264925107805,-110.54795203476971,2018-04-06,hrww,60
11,18.0252,11.1,henrys,hrww,0,23.07,1.12,ww,13.05,7.2,11.6,5.08,87.27,43.18,855.5,1.0,0.21,0.98,0.52,0.01,0.58,0.14,0.01,0.35,0.06,0.05,1.49,0.22,0.54,,,,56.11,1848.89,0.32,1.45,47.8880283431701,-110.5479567751014,2018-04-06,hrww,60
12,18.7555,11.0,henrys,hrww,0,23.27,1.34,ww,11.11,10.83,11.47,10.05,87.27,43.18,855.41,0.0,0.42,0.91,0.48,0.01,0.56,0.13,0.01,0.33,0.06,0.04,1.39,0.21,0.56,,,,56.11,1848.89,0.34,1.66,47.88824375319693,-110.547951604507,2018-04-06,hrww,60
13,19.6422,11.0,henrys,hrww,0,22.36,0.86,ww,11.11,9.01,11.47,18.14,87.27,43.18,855.46,0.0,0.8,0.6,0.5,0.01,0.57,0.14,0.01,0.33,0.06,0.04,1.39,0.21,0.55,,,,56.11,1848.89,0.34,1.66,47.88815756222595,-110.54795124455072,2018-04-06,hrww,60
14,19.6049,10.5,henrys,hrww,0,23.4,0.79,ww,11.11,16.24,10.84,4.28,87.27,43.18,855.41,1.0,0.26,0.97,0.52,0.01,0.55,0.13,0.01,0.3,0.06,0.05,1.23,0.22,0.56,,,,56.11,1848.89,0.35,1.73,47.88830861557921,-110.54795328454476,2018-04-06,hrww,60
15,19.8747,10.6,henrys,hrww,0,20.59,0.63,ww,11.11,18.32,10.84,1.93,87.27,43.18,855.41,1.0,0.26,0.97,0.52,0.01,0.55,0.13,0.01,0.3,0.06,0.05,1.23,0.22,0.56,,,,56.11,1848.89,0.35,1.73,47.888330183196956,-110.5479537645036,2018-04-06,hrww,60
16,14.3291,11.0,henrys,hrww,0,24.12,0.48,ww,13.05,2.39,11.6,4.56,87.27,43.18,855.51,0.0,0.28,0.96,0.52,0.01,0.59,0.13,0.01,0.35,0.06,0.05,1.49,0.22,0.52,,,,56.11,1848.89,0.32,1.45,47.887942148902624,-110.54795833440724,2018-04-06,hrww,60
17,15.2262,11.0,henrys,hrww,0,25.57,0.51,ww,13.05,0.15,11.6,2.2,87.27,43.18,855.51,0.0,0.28,0.96,0.52,0.01,0.59,0.13,0.01,0.35,0.06,0.05,1.49,0.22,0.52,,,,56.11,1848.89,0.32,1.45,47.88796361652017,-110.5479582244095,2018-04-06,hrww,60
18,16.1623,11.1,henrys,hrww,0,25.53,0.67,ww,13.05,2.42,11.6,0.55,87.27,43.18,855.51,0.0,0.28,0.96,0.52,0.01,0.59,0.13,0.01,0.35,0.06,0.05,1.49,0.22,0.52,,,,56.11,1848.89,0.32,1.45,47.88798529175529,-110.54795814443345,2018-04-06,hrww,60
19,14.3521,11.0,henrys,hrww,0,25.69,0.58,ww,13.05,4.77,11.6,6.93,87.27,43.18,855.51,0.0,0.28,0.96,0.52,0.01,0.59,0.13,0.01,0.35,0.06,0.05,1.49,0.22,0.52,,,,56.11,1848.89,0.32,1.45,47.887920706520184,-110.5479584844112,2018-04-06,hrww,60
20,17.0413,11.1,henrys,hrww,0,25.75,0.87,ww,13.05,4.79,11.6,2.69,87.27,43.18,855.5,1.0,0.21,0.98,0.52,0.01,0.58,0.14,0.01,0.35,0.06,0.05,1.49,0.22,0.54,,,,56.11,1848.89,0.32,1.45,47.88800666746156,-110.54795762465585,2018-04-06,hrww,60
21,19.0627,10.8,henrys,hrww,0,27.93,0.63,ww,12.21,8.58,11.62,13.47,87.27,43.18,855.54,0.0,-0.48,0.87,0.56,0.01,0.6,0.13,0.01,0.36,0.05,0.04,1.49,0.21,0.53,,,,56.11,1848.89,0.33,1.53,47.88785607175533,-110.54795887443854,2018-04-06,hrww,60
22,17.2914,10.9,henrys,hrww,0,25.66,1.03,ww,13.05,9.55,11.6,11.71,87.27,43.18,855.54,0.0,-0.48,0.87,0.56,0.01,0.6,0.13,0.01,0.36,0.05,0.04,1.49,0.21,0.53,,,,56.11,1848.89,0.33,1.53,47.887877674137684,-110.54795867442218,2018-04-06,hrww,60
23,19.1761,11.0,henrys,hrww,0,23.31,0.83,ww,13.05,7.21,11.6,9.37,87.27,43.18,855.54,0.0,-0.48,0.87,0.56,0.01,0.6,0.13,0.01,0.36,0.05,0.04,1.49,0.21,0.53,,,,56.11,1848.89,0.33,1.53,47.88789878413777,-110.54795858442135,2018-04-06,hrww,60
24,18.7982,10.6,henrys,hrww,0,25.77,0.56,ww,12.21,8.18,11.81,12.34,87.27,43.18,855.54,0.0,-0.48,0.87,0.56,0.01,0.6,0.13,0.01,0.36,0.05,0.04,1.49,0.21,0.53,,,,56.11,1848.89,0.33,1.53,47.88783460699054,-110.547959164489,2018-04-06,hrww,60
25,20.4243,10.8,henrys,hrww,0,21.46,0.56,ww,10.89,15.85,10.84,3.04,87.27,43.18,855.36,0.0,0.83,0.56,0.5,0.01,0.53,0.13,0.01,0.3,0.06,0.05,1.23,0.22,0.56,,,,56.11,1848.89,0.35,1.73,47.888373716049905,-110.54795429441819,2018-04-06,hrww,60
26,23.0492,10.4,henrys,hrww,0,24.11,0.7,ww,10.89,11.87,11.72,9.71,87.27,44.68,855.3,0.0,0.34,0.94,0.51,0.01,0.54,0.14,0.01,0.31,0.05,0.05,1.18,0.23,0.56,,,,56.11,1848.89,0.35,1.69,47.888571121755305,-110.54795005441042,2018-04-06,hrww,60
27,21.4804,11.0,henrys,hrww,0,20.5,0.97,ww,10.89,10.34,10.84,10.31,87.27,44.68,855.36,0.0,0.83,0.56,0.5,0.01,0.53,0.13,0.01,0.3,0.06,0.05,1.23,0.22,0.56,,,,56.11,1848.89,0.35,1.73,47.88843939840712,-110.54795354528366,2018-04-06,hrww,60
28,19.7666,10.9,henrys,hrww,0,17.77,0.79,ww,10.89,11.94,10.84,7.88,87.27,44.68,855.36,0.0,0.83,0.56,0.5,0.01,0.53,0.13,0.01,0.3,0.06,0.05,1.23,0.22,0.56,,,,56.11,1848.89,0.35,1.73,47.88841753031545,-110.547954254835,2018-04-06,hrww,60
29,22.5524,11.0,henrys,hrww,0,22.23,0.79,ww,10.89,9.12,11.72,13.38,87.27,44.68,855.3,0.0,0.37,0.93,0.48,0.01,0.53,0.13,0.01,0.31,0.05,0.05,1.18,0.23,0.57,,,,56.11,1848.89,0.35,1.69,47.88852775984368,-110.54795055458266,2018-04-06,hrww,60
30,19.9466,10.9,henrys,hrww,0,18.32,0.65,ww,10.89,13.81,10.84,5.45,87.27,44.68,855.36,0.0,0.83,0.56,0.5,0.01,0.53,0.13,0.01,0.3,0.06,0.05,1.23,0.22,0.56,,,,56.11,1848.89,0.35,1.73,47.8883955589026,-110.54795452438943,2018-04-06,hrww,60
31,21.1789,11.0,henrys,hrww,0,19.34,1.19,ww,10.89,9.11,10.84,12.77,87.27,44.68,855.3,0.0,0.37,0.93,0.48,0.01,0.53,0.13,0.01,0.31,0.05,0.05,1.18,0.23,0.57,,,,56.11,1848.89,0.35,1.69,47.88846151317008,-110.54795256508439,2018-04-06,hrww,60
32,21.5764,11.0,henrys,hrww,0,25.73,1.04,ww,10.89,8.44,10.84,15.23,87.27,44.68,855.3,0.0,0.37,0.93,0.48,0.01,0.53,0.13,0.01,0.31,0.05,0.05,1.18,0.23,0.57,,,,56.11,1848.89,0.35,1.69,47.88848367031541,-110.54795171483241,2018-04-06,hrww,60
33,22.5524,11.0,henrys,hrww,0,22.48,0.92,ww,10.89,8.44,11.72,15.51,87.27,44.68,855.3,0.0,0.37,0.93,0.48,0.01,0.53,0.13,0.01,0.31,0.05,0.05,1.18,0.23,0.57,,,,56.11,1848.89,0.35,1.69,47.88850566507942,-110.54795104469514,2018-04-06,hrww,60
34,22.2633,10.6,henrys,hrww,0,27.34,0.74,ww,10.89,10.31,11.72,11.43,87.27,44.68,855.3,0.0,0.34,0.94,0.51,0.01,0.54,0.14,0.01,0.31,0.05,0.05,1.18,0.23,0.56,,,,56.11,1848.89,0.35,1.69,47.88854948222597,-110.54795020453531,2018-04-06,hrww,60
35,19.9389,10.7,henrys,hrww,0,23.83,0.87,ww,12.21,8.45,11.81,10.53,87.27,43.18,855.54,0.0,-0.48,0.87,0.56,0.01,0.6,0.13,0.01,0.36,0.05,0.04,1.49,0.21,0.53,,,,56.11,1848.89,0.33,1.53,47.887812895079435,-110.54795972472236,2018-04-06,hrww,60
36,25.3368,10.8,henrys,hrww,0,21.61,0.72,ww,10.89,15.73,11.72,7.52,87.27,42.98,855.3,0.0,0.34,0.94,0.51,0.01,0.54,0.14,0.01,0.31,0.05,0.05,1.18,0.23,0.56,,,,56.11,1848.89,0.35,1.69,47.88861570843225,-110.54795054443038,2018-04-06,hrww,60
37,22.8291,10.6,henrys,hrww,0,20.81,0.69,ww,10.89,13.75,11.72,8.3,87.27,44.68,855.3,0.0,0.34,0.94,0.51,0.01,0.54,0.14,0.01,0.31,0.05,0.05,1.18,0.23,0.56,,,,56.11,1848.89,0.35,1.69,47.888593731285006,-110.54795014438473,2018-04-06,hrww,60
0,23.8291,10.5,henrys,hrww,0,26.4,0.67,ww,12.04,9.74,11.76,12.64,88.76,42.98,855.21,1.0,0.56,0.83,0.5,0.01,0.56,0.13,0.01,0.33,0.05,0.06,1.37,0.24,0.6,,,,56.11,1848.89,0.36,1.76,47.888747084608184,-110.54795225448724,2018-04-06,hrww,60
1,22.6088,10.5,henrys,hrww,0,27.54,0.53,ww,12.04,7.29,11.76,12.67,88.76,42.98,855.21,1.0,0.56,0.83,0.5,0.01,0.56,0.13,0.01,0.33,0.05,0.06,1.37,0.24,0.6,,,,56.11,1848.89,0.36,1.76,47.88876915031538,-110.5479518348212,2018-04-06,hrww,60
2,24.5764,10.9,henrys,hrww,0,26.92,0.81,ww,12.04,12.12,11.76,13.09,88.76,42.98,855.21,1.0,0.56,0.83,0.5,0.01,0.56,0.13,0.01,0.33,0.05,0.06,1.37,0.24,0.6,,,,56.11,1848.89,0.36,1.76,47.888725701285004,-110.54795223437955,2018-04-06,hrww,60
3,23.5047,11.0,henrys,hrww,0,36.89,0.61,ww,10.09,11.79,10.33,0.56,88.76,42.98,854.9,1.0,0.52,0.86,0.5,0.02,0.54,0.12,0.01,0.35,0.06,0.05,1.48,0.22,0.56,,,,56.11,1848.89,0.35,1.72,47.88942202987169,-110.54794552487304,2018-04-06,hrww,60
4,23.4094,11.0,henrys,hrww,0,31.71,0.48,ww,10.09,10.14,10.33,2.42,88.76,42.98,854.84,0.0,0.74,0.67,0.49,0.02,0.56,0.13,0.01,0.35,0.06,0.05,1.48,0.22,0.57,,,,56.11,1848.89,0.35,1.72,47.88944392319695,-110.54794622445984,2018-04-06,hrww,60
5,21.7389,10.9,henrys,hrww,0,33.4,0.77,ww,10.09,13.68,10.33,2.56,88.76,42.98,854.9,1.0,0.52,0.86,0.5,0.02,0.54,0.12,0.01,0.35,0.06,0.05,1.48,0.22,0.56,,,,56.11,1848.89,0.35,1.72,47.88940023272579,-110.54794473465998,2018-04-06,hrww,60
6,19.1343,10.9,henrys,hrww,0,27.45,0.55,ww,12.69,18.21,9.02,12.85,88.76,44.91,855.11,0.0,0.31,0.95,0.54,0.01,0.55,0.12,0.01,0.35,0.05,0.05,1.43,0.2,0.55,,,,56.11,1848.89,0.34,1.65,47.8890080455792,-110.54794854451728,2018-04-06,hrww,60
7,20.4545,11.1,henrys,hrww,0,25.17,1.04,ww,10.88,9.12,9.02,1.63,88.76,44.91,855.05,0.0,0.99,0.14,0.52,0.01,0.53,0.12,0.01,0.35,0.05,0.05,1.43,0.2,0.53,,,,56.11,1848.89,0.34,1.65,47.88913742460823,-110.54794819447189,2018-04-06,hrww,60
8,22.1184,10.8,henrys,hrww,0,28.84,0.62,ww,12.69,16.2,11.3,11.46,88.76,44.91,855.11,0.0,0.31,0.95,0.54,0.01,0.55,0.12,0.01,0.35,0.05,0.05,1.43,0.2,0.55,,,,56.11,1848.89,0.34,1.65,47.88898699748977,-110.54794775481265,2018-04-06,hrww,60
9,21.5044,11.0,henrys,hrww,0,26.62,1.16,ww,10.88,10.38,9.02,0.97,88.76,44.91,855.05,0.0,0.99,0.14,0.52,0.01,0.53,0.12,0.01,0.35,0.05,0.05,1.43,0.2,0.53,,,,56.11,1848.89,0.34,1.65,47.889116054608216,-110.54794872447275,2018-04-06,hrww,60
10,19.2139,10.9,henrys,hrww,0,25.7,0.59,ww,10.88,17.99,9.02,10.41,88.76,44.91,855.11,0.0,0.31,0.95,0.54,0.01,0.55,0.12,0.01,0.35,0.05,0.05,1.43,0.2,0.55,,,,56.11,1848.89,0.34,1.65,47.88902998319699,-110.54794890447612,2018-04-06,hrww,60
11,18.8719,11.0,henrys,hrww,0,28.75,0.87,ww,10.88,13.88,9.02,5.65,88.76,44.91,855.05,0.0,0.99,0.14,0.52,0.01,0.53,0.12,0.01,0.35,0.05,0.05,1.43,0.2,0.53,,,,56.11,1848.89,0.34,1.65,47.88907285890257,-110.54794923436282,2018-04-06,hrww,60
12,20.6429,11.0,henrys,hrww,0,27.23,1.1,ww,10.88,12.03,9.02,3.28,88.76,44.91,855.05,0.0,0.99,0.14,0.52,0.01,0.53,0.12,0.01,0.35,0.05,0.05,1.43,0.2,0.53,,,,56.11,1848.89,0.34,1.65,47.88909430699053,-110.54794907443947,2018-04-06,hrww,60
13,20.2102,10.9,henrys,hrww,0,27.15,0.7,ww,10.88,15.88,9.02,8.02,88.76,44.91,855.11,0.0,0.31,0.95,0.54,0.01,0.55,0.12,0.01,0.35,0.05,0.05,1.43,0.2,0.55,,,,56.11,1848.89,0.34,1.65,47.88905149319697,-110.54794924447528,2018-04-06,hrww,60
14,21.9076,10.9,henrys,hrww,0,27.39,0.82,ww,10.88,8.33,9.02,4.05,88.76,44.91,855.05,0.0,0.99,0.14,0.52,0.01,0.53,0.12,0.01,0.35,0.05,0.05,1.43,0.2,0.53,,,,56.11,1848.89,0.34,1.65,47.889159604608224,-110.54794773447102,2018-04-06,hrww,60
15,22.5167,11.0,henrys,hrww,0,31.82,1.2,ww,12.04,7.3,11.3,7.27,88.76,42.98,855.1,0.0,0.24,0.97,0.49,0.01,0.57,0.13,0.01,0.36,0.05,0.06,1.55,0.21,0.54,,,,56.11,1848.89,0.35,1.57,47.888900345551725,-110.54794799497724,2018-04-06,hrww,60
16,20.6972,10.5,henrys,hrww,0,28.77,0.9,ww,12.04,12.11,11.3,8.23,88.76,42.98,855.1,0.0,0.24,0.97,0.49,0.01,0.57,0.13,0.01,0.36,0.05,0.06,1.55,0.21,0.54,,,,56.11,1848.89,0.35,1.57,47.88894361890259,-110.54794692436788,2018-04-06,hrww,60
17,21.9558,10.9,henrys,hrww,0,28.05,1.14,ww,12.04,4.85,11.3,7.95,88.76,42.98,855.15,0.0,0.88,0.47,0.48,0.01,0.58,0.13,0.01,0.36,0.05,0.06,1.55,0.21,0.57,,,,56.11,1848.89,0.35,1.57,47.88887830555178,-110.5479486949781,2018-04-06,hrww,60
18,22.3691,10.7,henrys,hrww,0,26.54,0.51,ww,12.04,4.87,11.76,13.17,88.76,42.98,855.21,1.0,0.56,0.83,0.5,0.01,0.56,0.13,0.01,0.33,0.05,0.06,1.37,0.24,0.6,,,,56.11,1848.89,0.36,1.76,47.88879095031541,-110.54795118482032,2018-04-06,hrww,60
19,25.9866,10.8,henrys,hrww,0,25.13,0.57,ww,12.04,2.4,11.3,12.8,88.76,42.98,855.15,0.0,0.88,0.47,0.48,0.01,0.58,0.13,0.01,0.36,0.05,0.06,1.55,0.21,0.57,,,,56.11,1848.89,0.35,1.57,47.88881318269734,-110.54795053474815,2018-04-06,hrww,60
20,22.6304,10.9,henrys,hrww,0,28.31,0.73,ww,12.04,0.15,11.3,10.9,88.76,42.98,855.15,0.0,0.88,0.47,0.48,0.01,0.58,0.13,0.01,0.36,0.05,0.06,1.55,0.21,0.57,,,,56.11,1848.89,0.35,1.57,47.88883472793353,-110.54794990489611,2018-04-06,hrww,60
21,24.3338,10.9,henrys,hrww,0,29.11,0.93,ww,12.04,2.45,11.3,9.22,88.76,42.98,855.15,0.0,0.88,0.47,0.48,0.01,0.58,0.13,0.01,0.36,0.05,0.06,1.55,0.21,0.57,,,,56.11,1848.89,0.35,1.57,47.888856705551774,-110.54794929497896,2018-04-06,hrww,60
22,21.0042,10.9,henrys,hrww,0,28.78,1.02,ww,12.04,9.68,11.3,7.37,88.76,42.98,855.1,0.0,0.24,0.97,0.49,0.01,0.57,0.13,0.01,0.36,0.05,0.06,1.55,0.21,0.54,,,,56.11,1848.89,0.35,1.57,47.88892181507938,-110.54794731467878,2018-04-06,hrww,60
23,21.8443,10.7,henrys,hrww,0,28.26,0.75,ww,12.69,14.22,11.3,9.67,88.76,44.91,855.1,0.0,0.24,0.97,0.49,0.01,0.57,0.13,0.01,0.36,0.05,0.06,1.55,0.21,0.54,,,,56.11,1848.89,0.35,1.57,47.88896531796146,-110.54794705456546,2018-04-06,hrww,60
24,22.9979,11.1,henrys,hrww,0,30.45,1.14,ww,10.88,17.45,10.33,12.25,88.76,42.98,854.94,0.0,0.87,0.48,0.5,0.02,0.52,0.13,0.02,0.33,0.05,0.06,1.36,0.22,0.55,,,,56.11,1848.89,0.34,1.76,47.88931255413775,-110.5479451543658,2018-04-06,hrww,60
25,21.6489,11.0,henrys,hrww,0,28.49,0.97,ww,10.88,15.35,12.04,11.98,88.76,42.98,854.94,0.0,0.87,0.48,0.5,0.02,0.52,0.13,0.02,0.33,0.05,0.06,1.36,0.22,0.55,,,,56.11,1848.89,0.34,1.76,47.889290726990545,-110.54794560443176,2018-04-06,hrww,60
26,24.127,10.8,henrys,hrww,0,34.95,1.13,ww,10.09,17.84,10.33,7.42,88.76,42.98,854.9,1.0,0.52,0.86,0.5,0.02,0.54,0.12,0.01,0.35,0.06,0.05,1.48,0.22,0.56,,,,56.11,1848.89,0.35,1.72,47.889356101755304,-110.54794466437959,2018-04-06,hrww,60
